S.No,District,State,Population,Growth,Sex-Ratio,Literacy
320,Dewas,Madhya Pradesh,1563715,0.1953,942,69.35
321,Bharuch,Gujarat,1551019,0.1316,925,81.51
322,Rajgarh,Madhya Pradesh,1545814,0.2326,956,61.21
323,Chittaurgarh,Rajasthan,1544338,0.1608,972,61.71
324,Rajnandgaon,Chhattisgarh,1537133,0.1979,1015,75.96
325,Kolar,Karnataka,1536401,0.1077,979,74.39
326,Jammu,Jammu and Kashmir,1529958,0.1274,880,83.45
327,Kamrup,Assam,1517542,0.1569,949,75.55
328,Gurgaon,Haryana,1514432,0.7396,854,84.7
329,Amreli,Gujarat,1514190,0.0863,964,74.25
330,Shajapur,Madhya Pradesh,1512681,0.172,938,69.09
331,Kangra,Himachal Pradesh,1510075,0.1277,1012,85.67
332,Dharmapuri,Tamil Nadu,1506843,0.1634,946,68.54
333,Bhadrak,Orissa,1506337,0.1294,981,82.78
334,Karnal,Haryana,1505324,0.1814,887,74.73
335,Pashchimi Singhbhum,Jharkhand,1502338,0.2175,1005,58.63
336,Raigarh,Chhattisgarh,1493984,0.1805,991,73.26
337,Deoghar,Jharkhand,1492073,0.2803,925,64.85
338,Bargarh,Orissa,1481255,0.1002,977,74.62
339,Vidisha,Madhya Pradesh,1458875,0.2009,896,70.53
340,Karauli,Rajasthan,1458248,0.2055,861,66.22
341,Ratlam,Madhya Pradesh,1455069,0.1972,971,66.78
342,Sonipat,Haryana,1450001,0.1335,856,79.12
343,Tikamgarh,Madhya Pradesh,1445166,0.2013,901,61.43
344,Kendrapara,Orissa,1440361,0.1063,1007,85.15
345,Uttara Kannada,Karnataka,1437169,0.0617,979,84.06
346,Kanshiram Nagar,Uttar Pradesh,1436719,0.1693,880,61.02
347,Tonk,Rajasthan,1421326,0.173,952,61.58
348,Bastar,Chhattisgarh,1413199,0.1796,1023,54.4
349,Jhalawar,Rajasthan,1411129,0.1955,946,61.5
350,Gandhinagar,Gujarat,1391753,0.0429,923,84.16
351,Koppal,Karnataka,1389920,0.1621,986,68.09
352,Dungarpur,Rajasthan,1388552,0.2536,994,59.46
353,Bathinda,Punjab,1388525,0.1734,868,68.28
354,Barwani,Madhya Pradesh,1385881,0.2757,982,49.08
355,Koraput,Orissa,1379647,0.1686,1032,49.21
356,Auraiya,Uttar Pradesh,1379545,0.1691,864,78.95
357,Seoni,Madhya Pradesh,1379131,0.1822,982,72.12
358,Munger,Bihar,1367765,0.2021,876,70.46
359,Ramanathapuram,Tamil Nadu,1353445,0.1396,983,80.72
360,Patan,Gujarat,1343734,0.1361,935,72.3
361,Mandsaur,Madhya Pradesh,1340411,0.1324,963,71.78
362,Sivaganga,Tamil Nadu,1339101,0.159,1003,79.85
363,Sawai Madhopur,Rajasthan,1335551,0.1956,897,65.39
364,Jind,Haryana,1334152,0.1213,871,71.44
365,Raisen,Madhya Pradesh,1331597,0.1835,901,72.98
366,Navsari,Gujarat,1329672,0.0815,961,83.88
367,Tinsukia,Assam,1327929,0.1547,952,69.66
368,Dibrugarh,Assam,1326335,0.1192,961,76.05
369,Garhwa,Jharkhand,1322784,0.2775,935,60.33
370,Gondiya,Maharashtra,1322507,0.1014,999,84.95
371,Dumka,Jharkhand,1321442,0.1942,977,61.02
372,Godda,Jharkhand,1313551,0.2535,938,56.4
373,Sehore,Madhya Pradesh,1311332,0.2154,918,70.06
374,East Nimar,Madhya Pradesh,1310061,0.215,943,66.39
375,Kasaragod,Kerala,1307375,0.0858,1080,90.09
376,Baghpat,Uttar Pradesh,1303048,0.1195,861,72.01
377,Wardha,Maharashtra,1300774,0.0518,946,86.99
378,Sirsa,Haryana,1295189,0.1599,897,68.82
379,Katni,Madhya Pradesh,1292042,0.2141,952,71.98
380,Anugul,Orissa,1273821,0.1174,943,77.53
381,Thiruvarur,Tamil Nadu,1264277,0.0811,1017,82.86
382,Damoh,Madhya Pradesh,1264219,0.1663,910,69.73
383,Chikkaballapura,Karnataka,1255104,0.0923,972,69.76
384,Kamrup Metropolitan,Assam,1253938,0.1834,936,88.71
385,Theni,Tamil Nadu,1245899,0.1389,991,77.26
386,Guna,Madhya Pradesh,1241519,0.2697,912,63.23
387,Hoshangabad,Madhya Pradesh,1241350,0.1449,914,75.29
388,Srinagar,Jammu and Kashmir,1236829,0.2035,900,69.41
389,Karimganj,Assam,1228686,0.219,963,78.22
390,Baran,Rajasthan,1222755,0.1968,929,66.66
391,Lalitpur,Uttar Pradesh,1221592,0.2494,906,63.52
392,Nabarangapur,Orissa,1220946,0.1903,1019,46.43
393,Yamunanagar,Haryana,1214205,0.1657,877,77.99
394,Korba,Chhattisgarh,1206640,0.1925,969,72.37
395,Dhaulpur,Rajasthan,1206516,0.2271,846,69.08
396,Panipat,Haryana,1205437,0.246,864,75.94
397,Bhandara,Maharashtra,1200334,0.0565,982,83.76
398,Pathanamthitta,Kerala,1197412,-0.0297,1132,96.55
399,Washim,Maharashtra,1197160,0.1734,930,83.25
400,Dhenkanal,Orissa,1192811,0.118,947,78.76
401,Singrauli,Madhya Pradesh,1178273,0.2805,920,60.41
402,Udupi,Karnataka,1177361,0.0585,1094,86.24
403,Hingoli,Maharashtra,1177345,0.1927,942,78.17
404,Yadgir,Karnataka,1174271,0.2281,989,51.83
405,Rajsamand,Rajasthan,1156597,0.1718,990,63.14
406,Sivasagar,Assam,1151050,0.0944,954,80.41
407,Sahibganj,Jharkhand,1150567,0.2401,952,52.04
408,Chikmagalur,Karnataka,1137961,-0.0026,1008,79.25
409,Jagatsinghapur,Orissa,1136971,0.075,968,86.59
410,Ambala,Haryana,1128350,0.1123,885,81.75
411,Sidhi,Madhya Pradesh,1127033,0.2372,957,64.43
412,Jehanabad,Bihar,1125313,0.2168,922,66.8
413,Tarn Taran,Punjab,1119627,0.1923,900,67.81
414,Shrawasti,Uttar Pradesh,1117361,-0.0502,881,46.74
415,Bundi,Rajasthan,1110906,0.154,925,61.52
416,Idukki,Kerala,1108974,-0.0179,1006,91.99
417,Hamirpur,Uttar Pradesh,1104285,0.058,861,68.77
418,Jorhat,Assam,1092256,0.0931,962,82.15
419,Narsimhapur,Madhya Pradesh,1091854,0.1401,920,75.69
420,Mewat,Haryana,1089263,0.3793,907,54.08
421,Ramanagara,Karnataka,1082636,0.0505,976,69.22
422,Anantnag,Jammu and Kashmir,1078692,0.3858,927,62.69
423,Kaithal,Haryana,1074304,0.1355,881,69.15
424,Gadchiroli,Maharashtra,1072942,0.1058,982,74.36
425,Golaghat,Assam,1066888,0.1275,964,77.43
426,Shahdol,Madhya Pradesh,1066063,0.1739,974,66.67
427,Saraikela Kharsawan,Jharkhand,1065056,0.2547,956,67.7
428,Gadag,Karnataka,1064570,0.0954,982,75.12
429,Karur,Tamil Nadu,1064493,0.1377,1015,75.6
430,Rohtak,Haryana,1061204,0.1288,867,80.22
431,Chandigarh,Chandigarh,1055450,0.1719,818,86.05
432,Mandla,Madhya Pradesh,1054905,0.1797,1008,66.87
433,Chatra,Jharkhand,1042886,0.3177,953,60.18
434,Palwal,Haryana,1042708,0.2576,880,69.32
435,Lakhimpur,Assam,1042137,0.1722,968,77.2
436,Sambalpur,Orissa,1041099,0.1127,976,76.22
437,Sirohi,Rajasthan,1036346,0.2176,940,55.25
438,Mahasamund,Chhattisgarh,1032754,0.2005,1017,71.02
439,Gumla,Jharkhand,1025213,0.2316,993,65.73
440,Jhabua,Madhya Pradesh,1025048,0.307,990,43.3
441,Chamarajanagar,Karnataka,1020791,0.0573,993,61.43
442,Panna,Madhya Pradesh,1016520,0.1867,905,64.79
443,Goalpara,Assam,1008183,0.2264,964,67.37
444,Baramula,Jammu and Kashmir,1008039,0.1945,885,64.63
445,Lakhisarai,Bihar,1000912,0.2477,902,62.42
446,Mandi,Himachal Pradesh,999777,0.1092,1007,81.53
447,Moga,Punjab,995746,0.1128,893,70.68
448,Mohali,Punjab,994628,0.3315,879,83.8
449,Chitrakoot,Uttar Pradesh,991730,0.2943,879,65.05
450,Bangalore Rural,Karnataka,990923,0.1645,946,77.93
451,Rayagada,Orissa,967911,0.1646,1051,49.76
452,Kurukshetra,Haryana,964655,0.1686,888,76.31
453,Nayagarh,Orissa,962789,0.1137,915,80.42
454,Jhajjar,Haryana,958405,0.089,862,80.65
455,Morigaon,Assam,957423,0.2334,967,68.03
456,Karbi Anglong,Assam,956313,0.1758,951,69.25
457,Nainital,Uttarakhand,954605,0.2513,934,83.88
458,Puducherry,Puducherry,950289,0.2923,1029,85.44
459,Baksa,Assam,950075,0.1074,974,69.25
460,Ramgarh,Jharkhand,949443,0.131,921,73.17
461,Fatehabad,Haryana,942011,0.1685,902,67.92
462,Darrang,Assam,928500,0.2219,954,63.08
463,Mahendragarh,Haryana,922088,0.1348,895,77.72
464,Muktsar,Punjab,901896,0.16,896,65.81
465,Pakur,Jharkhand,900422,0.2833,989,48.82
466,Rewari,Haryana,900332,0.1764,898,80.99
467,North Delhi,Delhi,887978,0.1362,869,86.85
468,Kokrajhar,Assam,887142,0.0521,959,65.22
469,South Tripura,Tripura,876001,0.1415,957,84.66
470,Mahoba,Uttar Pradesh,875958,0.2364,878,65.27
471,Kupwara,Jammu and Kashmir,870354,0.3382,835,64.51
472,Pratapgarh,Rajasthan,867848,0.2278,983,55.97
473,Jashpur,Chhattisgarh,851669,0.146,1005,67.92
474,Sindhudurg,Maharashtra,849651,-0.0221,1036,85.56
475,Ashoknagar,Madhya Pradesh,845071,0.2266,904,66.42
476,Udalguri,Assam,831668,0.0961,973,65.41
477,Neemuch,Madhya Pradesh,826067,0.1377,954,70.8
478,East Khasi Hills,Meghalaya,825922,0.2496,1011,84.15
479,Kabirdham,Chhattisgarh,822526,0.4071,996,60.85
480,North Goa,Goa,818008,0.0784,963,89.57
481,Wayanad,Kerala,817420,0.0471,1035,89.03
482,Kapurthala,Punjab,815168,0.0804,912,79.07
483,Shimla,Himachal Pradesh,814010,0.1267,915,83.64
484,Tapi,Gujarat,807022,0.1214,1007,68.26
485,Dhamtari,Chhattisgarh,799781,0.1319,1010,78.36
486,Jamtara,Jharkhand,791042,0.2112,954,64.59
487,Datia,Madhya Pradesh,786754,0.1846,873,72.63
488,Nalbari,Assam,771639,0.1199,949,78.63
489,Mansa,Punjab,769751,0.1176,883,61.83
490,Burhanpur,Madhya Pradesh,757847,0.1937,951,64.36
491,Ariyalur,Tamil Nadu,754894,0.0854,1015,71.34
492,Badgam,Jammu and Kashmir,753745,0.2414,894,56.08
493,Anuppur,Madhya Pradesh,749237,0.123,976,67.88
494,Kanker,Chhattisgarh,748941,0.1506,1006,70.29
495,Bongaigaon,Assam,738804,0.2059,966,69.74
496,The Nilgiris,Tamil Nadu,735394,-0.0351,1042,85.2
497,Kandhamal,Orissa,733110,0.131,1037,64.13
498,Alirajpur,Madhya Pradesh,728999,0.1945,1011,36.1
499,Latehar,Jharkhand,726978,0.2961,967,59.51
500,Kodarma,Jharkhand,716259,0.4342,950,66.84
501,Dindori,Madhya Pradesh,704524,0.2132,1002,63.9
502,Arwal,Bihar,700843,0.1889,928,67.43
503,North Tripura,Tripura,693947,0.1744,967,87.5
504,Sheopur,Madhya Pradesh,687861,0.2294,901,57.43
505,Pauri Garhwal,Uttarakhand,687271,-0.0141,1103,82.02
506,Dhemaji,Assam,686133,0.1997,953,72.7
507,Rupnagar,Punjab,684627,0.0887,915,82.19
508,Jaisalmer,Rajasthan,669919,0.3181,852,57.22
509,Hailakandi,Assam,659296,0.2145,951,74.33
510,Korea,Chhattisgarh,658917,0.1238,968,70.64
511,Sheohar,Bihar,656246,0.2719,893,53.78
512,Umaria,Madhya Pradesh,644758,0.2496,950,65.89
513,West Garo Hills,Meghalaya,643291,0.2409,984,67.58
514,Rajouri,Jammu and Kashmir,642415,0.3293,860,68.17
515,South Goa,Goa,640537,0.0873,986,87.59
516,Sheikhpura,Bihar,636342,0.2109,930,63.86
517,Almora,Uttarakhand,622506,-0.0128,1139,80.47
518,Tehri Garhwal,Uttarakhand,618931,0.0235,1077,76.36
519,Faridkot,Punjab,617508,0.1209,890,69.55
520,Kathua,Jammu and Kashmir,616435,0.2053,890,73.09
521,Malkangiri,Orissa,613192,0.2162,1020,48.54
522,Shahid Bhagat Singh Nagar,Punjab,612310,0.0423,954,79.78
523,Nuapada,Orissa,610382,0.1502,1021,57.35
524,Subarnapur,Orissa,610183,0.1261,960,74.42
525,Fatehgarh Sahib,Punjab,600163,0.1146,871,79.35
526,Simdega,Jharkhand,599578,0.1658,997,67.99
527,Barnala,Punjab,595527,0.1302,876,67.82
528,Narmada,Gujarat,590297,0.1475,961,72.31
529,Porbandar,Gujarat,585449,0.0906,950,75.78
530,Central Delhi,Delhi,582320,-0.0991,892,85.14
531,Solan,Himachal Pradesh,580320,0.1593,880,83.68
532,Jharsuguda,Orissa,579505,0.1369,953,78.86
533,Gajapati,Orissa,577817,0.1137,1043,53.49
534,Harda,Madhya Pradesh,570465,0.2025,935,72.5
535,Perambalur,Tamil Nadu,565223,0.145,1003,74.32
536,Panchkula,Haryana,561293,0.1983,873,81.88
537,Pulwama,Jammu and Kashmir,560440,0.27,912,63.48
538,Udhampur,Jammu and Kashmir,554985,0.2078,870,68.49
539,Kodagu,Karnataka,554519,0.0109,1019,82.61
540,Dantewada,Chhattisgarh,533638,0.1208,1020,42.12
541,Khunti,Jharkhand,531885,0.2232,997,63.86
542,Sirmaur,Himachal Pradesh,529855,0.1554,918,78.8
543,Una,Himachal Pradesh,521173,0.1626,976,86.53
544,Chamba,Himachal Pradesh,519080,0.1263,986,72.17
545,Imphal West,Manipur,517992,0.1656,1031,86.08
546,Pithoragarh,Uttarakhand,483439,0.0458,1020,82.25
547,Chirang,Assam,482162,0.1134,969,63.55
548,Senapati,Manipur,479148,0.6894,937,63.6
549,Punch,Jammu and Kashmir,476835,0.2797,893,66.74
550,Lohardaga,Jharkhand,461790,0.2668,985,67.61
551,Imphal East,Manipur,456113,0.1551,1017,81.95
552,Hamirpur,Himachal Pradesh,454768,0.1019,1095,88.15
553,Baudh,Orissa,441162,0.1816,991,71.61
554,Kullu,Himachal Pradesh,437903,0.1476,942,79.4
555,Kulgam,Jammu and Kashmir,424483,0.0773,951,59.23
556,Thoubal,Manipur,422168,0.1594,1002,74.47
557,Doda,Jammu and Kashmir,409936,0.28,919,64.68
558,Aizawl,Mizoram,400309,0.2292,1009,97.89
559,Jaintia Hills,Meghalaya,395124,0.321,1013,61.64
560,Bandipora,Jammu and Kashmir,392232,0.2865,889,56.28
561,Chamoli,Uttarakhand,391605,0.0574,1019,82.65
562,West Khasi Hills,Meghalaya,383461,0.2953,980,77.87
563,Bilaspur,Himachal Pradesh,381956,0.1205,981,84.59
564,Dimapur,Nagaland,378811,1.2729,919,84.79
565,Dhalai,Tripura,378230,0.2285,944,85.72
566,Dadra and Nagar Haveli,Dadra and Nagar Haveli,343709,0.5588,774,76.24
567,Uttarkashi,Uttarakhand,330086,0.1189,958,75.81
568,Samba,Jammu and Kashmir,318898,0.1701,886,81.41
569,East Garo Hills,Meghalaya,317917,0.2687,972,73.95
570,Reasi,Jammu and Kashmir,314667,0.2704,890,58.15
571,Debagarh,Orissa,312520,0.1401,975,72.57
572,Ganderbal,Jammu and Kashmir,297446,0.365,874,58.04
573,Ramban,Jammu and Kashmir,283713,0.3199,902,54.27
574,East Sikkim,Sikkim,283583,0.1573,873,83.85
575,Churachandpur,Manipur,274143,0.2029,975,82.78
576,Kohima,Nagaland,267988,1.3181,928,85.23
577,Shupiyan,Jammu and Kashmir,266215,0.2597,951,60.76
578,Bageshwar,Uttarakhand,259898,0.0418,1090,80.01
579,Champawat,Uttarakhand,259648,0.1563,980,79.83
580,Ri Bhoi,Meghalaya,258840,0.3426,953,75.67
581,Bijapur,Chhattisgarh,255230,0.0878,984,40.86
582,Mon,Nagaland,250260,0.8036,899,56.99
583,Rudraprayag,Uttarakhand,242285,0.0653,1114,81.3
584,South Andaman,Andaman And Nicobar Islands,238142,0.1423,871,89.13
585,Bishnupur,Manipur,237399,0.1393,999,75.85
586,Kishtwar,Jammu and Kashmir,230696,0.2088,920,56.2
587,The Dangs,Gujarat,228291,0.2226,1006,75.16
588,Dima Hasao,Assam,214102,0.1384,932,77.54
589,Karaikal,Puducherry,200222,0.1723,1047,87.05
590,Tuensang,Nagaland,196596,0.9483,929,73.08
591,Mokokchung,Nagaland,194622,0.6094,925,91.62
592,Daman,Daman and Diu,191173,0.6771,534,88.07
593,Ukhrul,Manipur,183998,0.307,943,81.35
594,Papumpare,Arunachal Pradesh,176573,0.4473,980,79.95
595,Wokha,Nagaland,166343,0.9881,968,87.69
596,Phek,Nagaland,163418,1.1184,951,78.05
597,Lunglei,Mizoram,161428,0.1764,947,88.86
598,Changlang,Arunachal Pradesh,148226,0.1818,926,59.8
599,South Sikkim,Sikkim,146850,0.1165,915,81.42
600,Lohit,Arunachal Pradesh,145726,0.1659,912,68.18
601,Chandel,Manipur,144182,0.2185,933,71.11
602,South Garo Hills,Meghalaya,142334,0.4095,945,71.72
603,New Delhi,Delhi,142004,-0.2072,822,88.34
604,Kargil,Jammu and Kashmir,140802,0.1802,810,71.34
605,Zunheboto,Nagaland,140757,0.7805,976,85.26
606,Tamenglong,Manipur,140651,0.2615,943,70.05
607,Narayanpur,Chhattisgarh,139820,0.1916,994,48.62
608,West Sikkim,Sikkim,136435,0.1069,942,77.39
609,Leh,Jammu and Kashmir,133487,0.1387,690,77.2
610,Champhai,Mizoram,125745,0.1601,984,95.91
611,Lawngtlai,Mizoram,117894,0.6014,945,65.88
612,West Siang,Arunachal Pradesh,112274,0.0804,930,66.46
613,Tirap,Arunachal Pradesh,111975,0.1161,944,52.19
614,North And Middle Andaman,Andaman And Nicobar Islands,105597,-0.0002,925,83.91
615,East Siang,Arunachal Pradesh,99214,0.1352,980,72.54
616,Peren,Nagaland,95219,1.0415,915,77.95
617,Kurung Kumey,Arunachal Pradesh,92076,1.1656,1032,48.75
618,Mamit,Mizoram,86364,0.3756,927,84.93
619,Kinnaur,Himachal Pradesh,84121,0.0739,819,80
620,Kolasib,Mizoram,83955,0.2728,956,93.5
621,West Kameng,Arunachal Pradesh,83947,0.1253,819,67.07
622,Upper Subansiri,Arunachal Pradesh,83448,0.5078,998,63.8
623,Lower Subansiri,Arunachal Pradesh,83030,0.49,984,74.35
624,East Kameng,Arunachal Pradesh,78690,0.3762,1029,60.02
625,Kiphire,Nagaland,74004,0.3858,956,69.54
626,Serchhip,Mizoram,64937,0.2056,977,97.91
627,Lakshadweep,Lakshadweep,64473,0.063,946,91.85
628,Saiha,Mizoram,56574,-0.0734,979,90.01
629,Yanam,Puducherry,55626,0.7719,1038,79.47
630,Lower Dibang Valley,Arunachal Pradesh,54080,0.072,928,69.13
631,Diu,Daman and Diu,52074,0.1777,1031,83.46
632,Longleng,Nagaland,50484,-0.2157,905,72.17
633,Tawang,Arunachal Pradesh,49977,0.284,714,59
634,North Sikkim,Sikkim,43709,0.0653,767,78.01
635,Mahe,Puducherry,41816,0.1354,1184,97.87
636,Nicobars,Andaman And Nicobar Islands,36842,-0.1242,777,78.06
637,Upper Siang,Arunachal Pradesh,35320,0.0587,889,59.99
638,Lahul and Spiti,Himachal Pradesh,31564,-0.05,903,76.81
639,Anjaw,Arunachal Pradesh,21167,0.1419,839,56.46
640,Dibang Valley,Arunachal Pradesh,8004,0.1007,813,64.1
